title,platform,genre,developer,publisher,image
Airwolf,Nintendo Entertainment System,Action,Elite Systems Ltd.,Encore,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361128-nes_airwolf.jpg
Alex Kidd in Miracle World,Sega Master System,Action,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362837-sms_alexkiddinmiracleworld_br.jpg
Alex Kidd: High-Tech World,Sega Master System,Adventure,Sega AM7 R&D Division,Sega,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2417184-box_akhtw.png
Alex Kidd: The Lost Stars,Sega Master System,Action,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2417186-box_aktls.png
Alias,Xbox,Action,Probe Entertainment,"Acclaim Entertainment, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2285620-box_alias.png
Alien Crush,TurboGrafx-16,Pinball,Compile,"Turbo Technologies, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2365509-tg16_aliencrush_3.jpg
Alien Invaders - Plus!,Odyssey 2,Action,,Philips do Brasil Ltda.,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/1790434-alien_invaders___plus__usa__europe_.png
Alien Syndrome,Nintendo Entertainment System,Action,Sanritsu,Tengen,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362842-ms_aliensyndrome.jpg
Alien Syndrome,Sega Master System,Action,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362842-ms_aliensyndrome.jpg
Alien³,Genesis,Action,Probe Entertainment,Arena Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2368951-genesis_alien3.jpg
All-Pro Basketball,Nintendo Entertainment System,Sports,Aicom Corporation,Vic Tokai,https://www.giantbomb.com/a/uploads/square_avatar/10/103881/2091858-apb.jpg
Alone in the Dark,Xbox 360,Action-Adventure,Eden Games S.A.S.,Atari SA,https://www.giantbomb.com/a/uploads/square_avatar/0/1614/789751-alone_in_the_dark_ps2_us.jpg
Alpha Mission,Nintendo Entertainment System,Shoot 'Em Up,SNK,SNK,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361130-nes_alphamission.jpg
Alundra,PlayStation,Action,Matrix Software,Working Designs,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2267444-776379-alundra_front.png
America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,Nintendo Switch,Trivia/Board Game,,Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/0/1992/3059417-screen%20shot%202018-10-28%20at%204.44.02%20pm.png
Amidar,Atari 2600,Action,Konami,Parker Brothers,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367668-a2600_amidar.jpg
Animal Planet: Vet Life,Wii,Simulation,Activision,Activision,https://www.giantbomb.com/a/uploads/square_avatar/0/9039/1133588-vetlifewii.jpg
Animaniacs,Genesis,Action,"Factor 5, LLC",Konami,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2368992-genesis_animaniacs_cropped.jpg
Anticipation,Nintendo Entertainment System,Trivia/Board Game,"Rare, Ltd.",Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361132-nes_anticipation.jpg
Aqua Aqua,PlayStation 2,Puzzle,Zed Two Game Design Studio,SCi Games Ltd.,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2428378-box_aquaaqua.png
Arcade Classics,Genesis,Compilation,Al Baker & Associates,Sega,https://www.giantbomb.com/a/uploads/square_avatar/16/164924/2410074-generic.png
Arcade's Greatest Hits: The Atari Collection 1,PlayStation,Action,"Digital Eclipse Software, Inc.",Midway Games,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2983185-box_maghatari1.png
Arcana,Super Nintendo Entertainment System,Role-Playing,"HAL Laboratory, Inc.","HAL Laboratory, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/0/112/770947-front.jpg
Arch Rivals,Nintendo Entertainment System,Basketball,Midway Games,Flying Edge,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2983192-box_ar.png
Arkanoid: Doh It Again,Super Nintendo Entertainment System,Block-Breaking,Taito Corporation,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2363136-snes_arkanoiddohitagain_2.jpg
Armada,Dreamcast,Action,"Metro3D, Inc.","Metro3D, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/1/14761/859930-front_cover.jpg
Armor Ambush,Atari 2600,,,,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/1790479-armorambush_intv.jpg
Armored Core 2,PlayStation 2,Action,"FromSoftware, Inc.",Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2129471-box_ac2.png
Army Men: Air Combat,Nintendo 64,Action,Fluid Studios,The 3DO Company,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1799332-box_armymenac.png
Artillery Duel,Atari 2600,Strategy,Xonox,Xonox,https://www.giantbomb.com/a/uploads/square_avatar/1/15568/634279-artillery_duel_cart_2.jpg
Assassin's Creed (Limited Edition),Xbox 360,Platformer,Ubisoft Montreal Studios,Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2843355-ac.jpg
Assassin's Creed III,Xbox 360,Action-Adventure,Ubisoft Montreal Studios,Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2141562-box_ac3.png
Assassin's Creed IV: Black Flag,PlayStation 3,Vehicular Combat,Ubisoft Montreal Studios,Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2557106-ac4clean.jpg
Assassin's Creed: Brotherhood,Xbox 360,Action-Adventure,Ubisoft Montreal Studios,Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2843337-acbro.jpg
Assassin's Creed: Revelations,PlayStation 3,Action-Adventure,Ubisoft Montreal Studios,Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2074739-box_acr.png
Assassin's Creed: The Rebel Collection,Nintendo Switch,Compilation,Ubisoft Entertainment,Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/0/1992/3145107-acrebelcollection.jpg
Assassin’s Creed II: The Master Assassin’s Edition,Xbox 360,Platformer,Ubisoft Montreal Studios,Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2392977-assassins_creed_ii_05_artwork.jpg
Asteroids,Atari 2600,Shoot 'Em Up,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367670-a2600_asteroids_au.jpg
Asteroids,Atari 7800,Shoot 'Em Up,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367670-a2600_asteroids_au.jpg
Asteroids,Game Boy,Shoot 'Em Up,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367670-a2600_asteroids_au.jpg
AstroBlast,Atari 2600,Shoot 'Em Up,,Mattel Electronics,https://www.giantbomb.com/a/uploads/square_avatar/0/5578/908150-b_astroblast_front.jpg
Astyanax,Nintendo Entertainment System,Action,Jaleco Ltd.,Jaleco Ltd.,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361136-nes_astyanax.jpg
Athena,Nintendo Entertainment System,Action,Micronics,SNK,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2371425-athena_fr_ntsc.png
Atlantis,Atari 2600,Shoot 'Em Up,Imagic,Imagic,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2366005-a5200_atlantis.jpg
Atomic Runner,Genesis,Action,Data East Corporation,Data East Corporation,https://www.giantbomb.com/a/uploads/square_avatar/2/23093/3247024-0748542875-47051.jpg
Axiom Verge: Multiverse Edition,Nintendo Switch,Platformer,"Thomas Happ Games, LLC",BadLand Publishing,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2962709-box_av.png
Back to the Future,Nintendo Entertainment System,Action,Beam Software,LJN,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2325918-nes_backtothefuture.jpg
Backgammon,Atari 2600,Strategy,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/1/15568/635233-b_backgammon_color_front.jpg
Bad Dudes vs. Dragon Ninja,Nintendo Entertainment System,Action,Data East Corporation,Data East Corporation,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361144-nes_baddudes.jpg
Bad News Baseball,Nintendo Entertainment System,Baseball,Tecmo,Tecmo,https://www.giantbomb.com/a/uploads/square_avatar/0/9279/277708-bad_news_cover.jpg
Bad Street Brawler,Nintendo Entertainment System,Brawler,Beam Software,Mattel Interactive,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2371421-bad_street_brawler_fr_ntsc.png
Baldur's Gate: Dark Alliance,PlayStation 2,Action,Magic Pockets,Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2116219-box_frbgda.png
Ballblazer,Atari 7800,Action,General Computer Corporation,Atari,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2365966-a7800_ballblazer.jpg
Balloon Fight,Nintendo Entertainment System,Action,Nintendo R&D1,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/16/165930/2365659-balloonfight_nes__usa_front.jpg
Ballz 3D,Super Nintendo Entertainment System,Fighting,PF Magic,"Accolade, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2369042-genesis_ballz3d.jpg
Barbie,Nintendo Entertainment System,Action,Imagineering Inc.,"Hi-Tech Expressions, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/0/7465/506405-587107_46863_front.jpg
Barkley: Shut Up and Jam!,Genesis,Basketball,"Accolade, Inc.","Accolade, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/2/23093/2744293-3091555203-47059.jpg
Base Wars - Cyber Stadium Series,Nintendo Entertainment System,Action,Konami,Ultra Games,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361149-nes_basewars.jpg
Baseball,Game Boy,Sports,"Intelligent Systems Co., Ltd.",Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361151-nes_baseball.jpg
Baseball,Nintendo Entertainment System,Sports,Nintendo R&D1,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361151-nes_baseball.jpg
Bases Loaded,Nintendo Entertainment System,Baseball,"TOSE Co., Ltd.",Jaleco Ltd.,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361156-nes_basesloaded.jpg
Basic Programming,Atari 2600,Educational,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367654-2600_basicprogramming.jpg
Basketball,Atari 2600,Basketball,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/1/15568/623370-b_basketball_color_front.jpg
Batman Forever,Game Gear,Brawler,Probe Entertainment,"Acclaim Entertainment, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2369052-genesis_batmanforever_eu_cropped.jpg
Batman Forever,Genesis,Brawler,Probe Entertainment,"Acclaim Entertainment, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2369052-genesis_batmanforever_eu_cropped.jpg
Batman Returns,Genesis,Action,ACME Interactive,Sega,https://www.giantbomb.com/a/uploads/square_avatar/2/23093/3252292-0572667446-21281.jpg
Batman Returns,Super Nintendo Entertainment System,Action,Konami,Konami,https://www.giantbomb.com/a/uploads/square_avatar/2/23093/3252292-0572667446-21281.jpg
Batman: Arkham City,Xbox 360,Action-Adventure,Rocksteady Studios Ltd,WB Games,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2606170-batmanaccleanbox.jpg
Batman: Return of the Joker,Nintendo Entertainment System,Action,SUNSOFT,SUNSOFT,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361163-nes_batmanreturnofthejoker.jpg
Batman: The Video Game,Nintendo Entertainment System,Action,SUNSOFT,SUNSOFT,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361161-nes_batman.jpg
Battle Blaze,Super Nintendo Entertainment System,Fighting,Aicom Corporation,American Sammy Corporation,https://www.giantbomb.com/a/uploads/square_avatar/2/23093/2551701-battle_blaze_snes_us.jpg
Battle Chasers: Nightwar,Nintendo Switch,Action,Airship Syndicate,THQ Nordic,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/3107399-box_bcn.png
Battle Chess,Nintendo Entertainment System,Strategy,Interplay Entertainment Corp.,Interplay Entertainment Corp.,https://www.giantbomb.com/a/uploads/square_avatar/1/11423/1293119-battle_chess_box_art.jpg
Battle Clash,Super Nintendo Entertainment System,Light-Gun Shooter,Nintendo,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2363654-snes_battleclash.jpg
Battle Royale,TurboGrafx-16,Wrestling,"Incredible Technologies, Inc.","NEC Technologies, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/0/7465/1726838-588900_40517_front.jpg
BattleTech: A Game of Armored Combat,Genesis,Shooter,EA Tiburon,Activision,https://www.giantbomb.com/a/uploads/square_avatar/2/23944/2193890-mechwarrior.jpg
Battletoads,Nintendo Entertainment System,Action,"Rare, Ltd.","Tradewest, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361165-nes_battletoads.jpg
Battletoads & Double Dragon: The Ultimate Team,Super Nintendo Entertainment System,Action,"Rare, Ltd.","Tradewest, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/0/3509/662862-battletoadsdoubledragon_genesis_na.jpg
Battletoads in Battlemaniacs,Super Nintendo Entertainment System,Action,"Rare, Ltd.",Tec Toy Indústria de Brinquedos S.A.,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2363657-snes_battletoadsinbattlemaniacs.jpg
Battlezone,Atari 2600,First-Person Shooter,General Computer Corporation,Atari,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2365318-axe_battlezone_au.jpg
Bayonetta,Xbox 360,Action,PlatinumGames,Sega,https://www.giantbomb.com/a/uploads/square_avatar/1/13158/1124551-gb.png
Beetle Adventure Racing!,Nintendo 64,Action,Paradigm Entertainment Inc.,Electronic Arts,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2991116-box_bar.png
Bendy and the Ink Machine,Nintendo Switch,Action,TheMeatly Games,Rooster Teeth Productions,https://www.giantbomb.com/a/uploads/square_avatar/34/347520/2932958-download.jpg
Berzerk,Atari 2600,Action,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367671-a2600_berzerk_ca.jpg
Best of the Best: Championship Karate,Super Nintendo Entertainment System,Action,Loriciel,Electro-Brain,https://www.giantbomb.com/a/uploads/square_avatar/2/23093/2716843-andrepanzakickboxing_tg16.jpg
Beyond Oasis,Genesis,Action-Adventure,Ancient,Sega,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2369737-genesis_beyondoasis.jpg
Beyond the Beyond,PlayStation,Adventure,Camelot Software Planning,Sony Interactive Entertainment America,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1875201-box_btb.png
Bible Adventures,Nintendo Entertainment System,Action,"Wisdom Tree, Inc.","Wisdom Tree, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361170-nes_bibleadventures.jpg
Big Brain Academy,Nintendo DS,Action,Nintendo SDD Software Development Group,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/3226662-box_bba.png
Big Brain Academy: Wii Degree,Wii,Educational,Nintendo SDD Software Development Group,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/0/4938/615485-cover_large.jpg
Bigfoot,Nintendo Entertainment System,Driving/Racing,Beam Software,"Acclaim Entertainment, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/0/5911/832991-104_1.jpg
Biker Mice From Mars,Super Nintendo Entertainment System,Driving/Racing,Konami,Konami,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2363660-snes_bikermice.jpg
Bill Laimbeer's Combat Basketball,Super Nintendo Entertainment System,Basketball,"Hudson Entertainment, Inc.","Hudson Entertainment, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/7/73970/3203103-bill_lambeers_combat_basketball_snes_1_1.jpg
Billiards,PlayStation,Sports,Argent,D3 Publisher Inc.,https://www.giantbomb.com/a/uploads/square_avatar/0/2922/457362-528431_50967_front.jpg
Bimini Run,Genesis,Action,"Microsmiths, Inc.",Nuvision Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/2/23093/2384846-bimini_run_cover.jpg
Bio-Hazard Battle,Genesis,Shoot 'Em Up,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2369742-genesis_biohazardbattle.jpg
Biohazard 4,GameCube,Shooter,Capcom Production Studio 4,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2566479-re4.jpg
Bionic Commando,Nintendo Entertainment System,Action,Capcom,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361171-nes_bioniccommando.jpg
BioShock,PlayStation 3,First-Person Shooter,Irrational Games,2K Games,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2584146-bioshock.jpg
BioShock (Limited Edition),Xbox 360,First-Person Shooter,Irrational Games,2K Games,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2584146-bioshock.jpg
BioShock 2,PlayStation 3,First-Person Shooter,Arkane Studios SA,2K Games,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2584143-bioshock2.jpg
BioShock: Infinite (Ultimate Songbird Edition),PlayStation 3,First-Person Shooter,Irrational Games,2K Games,https://www.giantbomb.com/a/uploads/square_avatar/0/4344/2379677-bioshockinfinite_boxart.jpg
BioShock: The Collection,Nintendo Switch,Compilation,Virtuos Ltd.,2K Games,https://www.giantbomb.com/a/uploads/square_avatar/11/118833/2881502-bioshock_collection_hero.jpg
Black Belt,Sega Master System,Brawler,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/0/2453/1538149-bbus_front.jpg
Blade Force,3DO,Action,Studio 3DO,The 3DO Company,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2365602-3do_bladeforce.jpg
Blades of Steel (Red Label),Nintendo Entertainment System,Sports,Konami,Konami,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361179-nes_bladesofsteel.jpg
Blaster Master,Nintendo Entertainment System,Action,Tokai Engineering,SUNSOFT,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361178-nes_blastermaster.jpg
Blaster Master: Blasting Again,PlayStation,Action,SUNSOFT,Crave Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2956085-box_bmba.png
BlazBlue Continuum Shift Extend,PlayStation 3,Fighting,"Arc System Works Co., Ltd.",Aksys Games,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2112203-box_bbcse.png
BlaZeon: The Bio-Cyborg Challenge,Super Nintendo Entertainment System,Shoot 'Em Up,"A.I Co., Ltd.","Atlus Co., Ltd.",https://www.giantbomb.com/a/uploads/square_avatar/1/13641/2309096-jpn_cover.jpg
Blazing Angels: Squadrons of WWII,Wii,Action,Ubisoft Bucharest,Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2972754-box_ba.png
Blazing Dragons,Saturn,Adventure,The Illusions Game Company,"Crystal Dynamics, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/2/23541/1474522-blazing_dragons__u___slus_00100__front.jpg
Blazing Lazers,TurboGrafx-16,Shoot 'Em Up,Compile,"NEC Home Electronics, Ltd.",https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2365511-tg16_blazinglazers.jpg
Bloody Wolf,TurboGrafx-16,Action,Data East Corporation,"NEC Technologies, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/0/7900/263976-bloody_wolf.jpg
Blur,Xbox 360,Sports,Bizarre Creations,Activision,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2099987-box_blur.png
BMX Air Master,Atari 2600,Action,Acclaim Studios Salt Lake City,TNT Games,https://www.giantbomb.com/a/uploads/square_avatar/8/82221/1276301-584590_37555_front.jpg
Bomberman 64,Nintendo 64,Action,"Hudson Entertainment, Inc.",Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1840744-box_bman64.png
Bonanza Brothers,Genesis,Action,"ITL Co., Ltd.",Sega,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2369749-genesis_bonanzabros_eu.jpg
Bonk's Adventure,TurboGrafx-16,Platformer,"Atlus Co., Ltd.","NEC Technologies, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2365513-tg16_bonksadventure.jpg
Boogerman: A Pick and Flick Adventure,Genesis,Action,Interplay Entertainment Corp.,Interplay Entertainment Corp.,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2369756-genesis_boogerman_eu_cropped.jpg
Boom Blox Bash Party,Wii,Action,EA Los Angeles,Electronic Arts,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1894700-box_bbbp.png
Borderlands,Xbox 360,Action,Gearbox Software LLC,2K Games,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2560037-blclean.jpg
Borderlands 2,Xbox 360,Role-Playing,Gearbox Software LLC,2K Games,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2560027-bl2clean.jpg
Borderlands Legendary Collection,Nintendo Switch,Compilation,2K Games,2K Games,https://www.giantbomb.com/a/uploads/square_avatar/16/164924/3177245-7405028091-nYNEi.jpg
Borderlands: The Pre-Sequel!,Xbox 360,Role-Playing,Gearbox Software LLC,2K Games,https://www.giantbomb.com/a/uploads/square_avatar/0/3699/2693633-borderlands%20-%20the%20pre-sequel%21.jpg
Bowling,Atari 2600,Bowling,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/1/19745/858290-584595_37560_front.jpg
Boxing,Atari 2600,Boxing,Activision,Activision,https://www.giantbomb.com/a/uploads/square_avatar/1/15568/543826-b_boxing_original_front.jpg
Brain Games,Atari 2600,Educational,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367673-a2600_braingames.jpg
Brain Lord,Super Nintendo Entertainment System,Action,"Produce Co., Ltd.",Enix Corporation,https://www.giantbomb.com/a/uploads/square_avatar/2/26763/1130076-snes009brainlordfront.jpg
Brawl Brothers,Super Nintendo Entertainment System,Action,Jaleco Ltd.,Jaleco Ltd.,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2363667-snes_brawlbrothers.jpg
Breakaway IV,Atari 2600,Action,Atari,Atari SA,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2366241-a5200_superbreakout.jpg
Breakout,Atari 2600,Action,Atari,"Sears, Roebuck and Co.",https://www.giantbomb.com/a/uploads/square_avatar/13/139866/2601660-11002901.jpg
Breath of Fire,Super Nintendo Entertainment System,Role-Playing,Capcom,Squaresoft,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2363668-snes_breathoffire.jpg
Brutal: Paws of Fury,Super Nintendo Entertainment System,Fighting,Eurocom Entertainment Software,"Cybersoft, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/0/3948/1025951-085.jpg
Bubble Bobble,Nintendo Entertainment System,Action,Taito Corporation,Taito Corporation,https://www.giantbomb.com/a/uploads/square_avatar/16/164924/3163090-0665278184-28016.jpg
